Year,Kilometer,Length,Fuel Tank Capacity,Max_Power_Value,Max_Power_RPM,Max_Torque_Value,Make_encoded,Fuel_CNG,Fuel_Others,Fuel_Petrol,Transmission_is_Automatic,Volume,Efficiency,Age_Kilometer,Kilometer_per_Year,Power_to_CC,Power_to_Torque,RPM_Ratio,Owner_First_Owner,Owner_Fourth_Plus_Owner,Owner_New,Owner_Second_Owner,Owner_Third_Owner,Seating_2,Seating_4,Seating_6,Seating_7,Seating_8
2015,-0.362477322076696,-0.0776641702086012,-0.4695620479335419,-0.5591832735302793,0.6432832754535375,-0.8620715341253512,-0.6396645235869339,0,0,1,0,80.4758606658817,1.1908613057446706,-3.6247732207669596,-0.036247732207669595,-0.5591832735302793,-0.5591832735302793,0.6432832754535375,1,0,0,0,0,0,0,0,0,0
2021,-1.070297836644449,0.8446102336987265,0.9984625292657152,0.9669137734140384,-0.7399729108732509,1.123246187469462,1.670286102580891,0,0,0,1,1319.5704122127438,0.968402664169202,-4.281191346577796,-0.2675744591611123,0.9669137734140384,0.8608208816558536,-0.7399729108732509,1,0,0,0,0,0,0,0,0,0
2017,0.0118253923471143,-0.6464378197927272,-0.8032039972970094,-0.638667494725296,1.1043686708958005,-0.9703615916668864,-0.7598816335975614,0,0,1,0,253.07199406767919,0.7951497961596039,0.0946031387769144,0.0014781740433892875,-0.638667494725296,-0.638667494725296,0.5933881225966249,1,0,0,0,0,0,0,0,0,0
2014,-0.9182288050267476,-0.6555019416984503,-0.4695620479335419,-0.7340485601593152,1.1043686708958005,-0.9429569877717084,-0.6396645235869339,0,0,1,0,430.5823950704765,1.5632621149637855,-10.100516855294224,-0.08347534591152252,-0.7340485601593152,-0.7340485601593152,0.9308728595980532,1,0,0,0,0,0,0,0,0,0
2017,-0.0108024795575996,0.0356373536129378,-0.2693768783154614,-0.1776590117941991,-0.9705156085943822,0.5456992139146072,-0.98555689465635,0,0,0,0,0.1920467199563973,0.6595184148884021,-0.0864198364607968,-0.00135030994469995,-0.1776590117941991,-0.1776590117941991,-0.9705156085943822,1,0,0,0,0,0,0,0,0,0
2017,0.2570519127338202,0.2282499441095541,0.7982773596476346,0.7125642655899853,-0.5555387526963458,0.9788594440807484,1.2123767407821522,0,0,0,1,194.96782507459028,0.892627427019246,2.0564153018705618,0.03213148909172753,0.7125642655899853,0.7125642655899853,-0.5555387526963458,1,0,0,0,0,0,0,0,0,0
2018,0.0854268036500838,-1.1766889512775298,-0.6030188276789289,-0.7658422486373218,1.1043686708958005,-0.9414842429891436,-0.6396645235869339,0,0,1,0,1495.824412056791,1.270013826243393,0.5979876255505866,0.012203829092869115,-0.7658422486373218,-0.7658422486373218,0.9308728595980532,1,0,0,0,0,0,0,0,0,0
2016,-0.041277113493787,0.3528816203132471,-0.8032039972970094,-0.1935558560332027,1.6576711454265156,-0.7176847907366375,-0.7598816335975614,0,0,1,0,-293.54415124938726,0.24097969716855064,-0.371494021444083,-0.004586345943754112,-0.1935558560332027,-0.1935558560332027,0.9794577238902961,0,0,0,1,0,0,0,0,0,0
2018,-0.932188742129253,-1.371567572250577,-1.6039446757693314,-0.988398067983369,0.6432832754535375,-1.1075289978861644,-0.98804306748625,0,0,1,0,3008.5443512122642,0.6162295264387996,-6.5253211949047705,-0.13316982030417898,-0.988398067983369,-0.988398067983369,0.4603966167756189,1,0,0,0,0,0,0,0,0,0
2015,-0.1654262709064774,-0.6781622464627581,-0.4695620479335419,-0.7499454043983187,1.1043686708958005,-0.934264905819708,-0.6396645235869339,0,0,1,0,249.57214232906466,1.5971167339837058,-1.6542627090647741,-0.01654262709064774,-0.7499454043983187,-0.7499454043983187,0.9308728595980532,1,0,0,0,0,0,0,0,0,0
