Model,Year,Kilometer,Location,Length,Width,Height,Fuel Tank Capacity,Log_Price,Engine_Value,Max_Power_Value,Max_Power_RPM,Max_Torque_Value,Max_Torque_RPM,Make_encoded,Drivetrain_encoded,Fuel_CNG,Fuel_Others,Fuel_Petrol,Transmission_is_Automatic,Color_Medium,Color_Premium,Color_Rare,Color_Silver,Color_Standard,Owner_First_Owner,Owner_Fourth_Plus_Owner,Owner_New,Owner_Second_Owner,Owner_Third_Owner,Seller_Commercial Registration,Seller_Corporate,Seating_2,Seating_4,Seating_6,Seating_7,Seating_8
Endeavour Titanium Plus 3.2 4x4 AT,2019,33999.99999999999,Chennai,4903.0,1869.0,1837.0,80.0,14.994165554305921,3165.290134357197,197.0,3000.0,470.0,1750.0,13.701192212433263,13.81,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
TT 2.0 TFSI Quattro,2014,39394.00000000003,Jaipur,4198.0,1842.0,1353.0,60.0,15.201804919084164,1983.9999999999993,207.99999999999997,4300.0,350.0,1600.0,14.645617786857711,13.81,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Innova 2.8 ZX AT 7 STR [2016-2020],2017,44999.999999999985,Mumbai,4735.0,1830.0,1795.0,55.0,14.580978400103845,2754.999999999999,171.99999999999994,3400.0,360.0,1200.0,14.103649799670542,13.81,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
Creta 1.6 SX Plus Special Edition,2015,90000.00000000001,Lucknow,4270.0,1780.0,1630.0,60.0,13.592367006650065,1581.9999999999993,126.0,4000.0,265.0,1900.0,13.332835658211609,13.81,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
XUV500 W8 AWD,2012,47530.99999999996,Bangalore,4585.0,1890.0,1785.0,70.0,13.604789526648622,2179.000000000001,139.99999999999994,3750.0,330.0,2800.0,13.7548285741869,13.81,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Q7 45 TDI Technology Pack,2016,87999.99999999996,Delhi,5052.0,1968.0,1740.0,75.0,15.137266397946593,2966.9999999999995,245.0000000000001,2910.0,600.0,1500.0,14.645617786857711,13.81,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Fortuner 2.8 4x2 AT [2016-2020],2017,43999.99999999997,Delhi,4795.0,1855.0,1835.0,80.0,14.75160391713461,2754.999999999999,174.0,3400.0,450.0,1600.0,14.103649799670542,13.81,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
MU-X 4x2,2017,96094.99999999997,Thane,4825.0,1860.0,1840.0,65.0,14.398284681042849,2999.0000000000023,174.0,3600.0,380.0,1800.0,13.905447195264628,13.81,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
Elite i20 Sportz 1.5 MT Diesel,2021,43000.00000000002,Agra,3995.0,1775.0,1505.0,37.0,13.623138665316818,1493.0,98.99999999999999,4000.0,240.0,1500.0,13.332835658211609,13.81,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Q5 2.0 TDI quattro Premium Plus,2012,40000.0,Raipur,4629.0,1898.0,1653.0,75.0,14.214286677921642,1967.9999999999998,174.0,4200.0,380.0,1750.0,14.645617786857711,13.81,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Range Rover Sport SE 2.0 Petrol,2022,22010.000000000004,Mohali,4879.0,2035.0,1803.0,104.0,16.34123920227253,1997.0,295.99999999999994,5500.0,400.0,1500.0,15.278102064185989,13.81,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Creta SX Plus 1.6  Petrol,2016,57983.00000000005,Mumbai,4270.0,1780.0,1630.0,60.0,13.693342923990066,1590.9999999999998,122.00000000000003,6400.0,154.0,4850.0,13.332835658211609,13.81,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Swift DZire VDI,2013,37000.00000000001,Salem,3995.0,1695.0,1555.0,42.0,13.235692062711331,1248.0000000000005,74.00000000000003,4000.0,190.0,2000.0,13.0876568212651,13.81,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Venue SX Plus 1.0 Turbo DCT,2019,28000.00000000002,Chennai,3995.0,1770.0,1605.0,45.0,13.8878312195439,998.0000000000002,118.00000000000004,6000.0,172.0,1500.0,13.332835658211609,13.81,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
X1 sDrive20d xLine,2018,53000.00000000002,Delhi,4454.0,2035.0,1545.0,63.0,14.790070197962406,1995.0000000000007,184.00000000000006,4000.0,350.0,1750.0,14.970197610360676,13.81,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Brio S MT,2014,49000.00000000002,Delhi,3610.0,1680.0,1500.0,35.0,12.644327576461329,1198.0,87.0,6000.0,109.0,4500.0,13.247622182348156,13.81,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
X5 xDrive 30d,2015,86999.99999999994,Mohali,4886.0,1938.0,1762.0,50.0,14.905754596961867,2993.0000000000027,258.0,4000.0,560.0,1500.0,14.970197610360676,13.81,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
A4 2.0 TDI Sline,2012,89000.00000000004,Mohali,4370.0,1775.0,1550.0,50.0,13.560618308335483,1497.9999999999998,117.00000000000003,4200.0,200.0,1900.0,14.645617786857711,13.81,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Superb L&K TSI AT,2021,7404.661098281211,Kolkata,4861.0,1864.0,1483.0,66.0,14.978348818931655,1797.9999999999995,176.99999999999994,5100.0,250.0,1250.0,13.940173966008981,13.81,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Rapid Elegance 1.6 MPI AT,2013,57000.000000000044,Delhi,4386.0,1699.0,1466.0,55.0,12.959844447906553,1598.0,103.00000000000001,5250.0,153.0,3800.0,13.940173966008981,13.81,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Xcent S 1.2,2018,66000.0,Ahmedabad,3995.0,1660.0,1520.0,43.0,13.102160670086809,1196.9999999999995,81.00000000000003,6000.0,114.0,4000.0,13.332835658211609,13.81,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cooper D 3 Door,2019,7404.661098281211,Delhi,3821.0,1727.0,1414.0,44.0,15.009433026436708,1495.9999999999993,114.00000000000003,4000.0,270.0,1750.0,14.516270808655126,13.81,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Wagon R LXI CNG (O),2015,92000.00000000007,Mumbai,3599.0,1495.0,1700.0,35.0,12.608198852372823,998.0000000000002,57.999999999999986,6200.0,77.0,3500.0,13.0876568212651,13.81,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Glanza G,2020,55000.00000000004,Lucknow,3995.0,1745.0,1510.0,37.0,13.444446876573442,1196.9999999999995,82.00000000000001,6000.0,113.0,4200.0,14.103649799670542,13.81,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
X3 xDrive 20d Luxury Line [2018-2020],2021,39000.0,Ahmedabad,4657.0,1881.0,1678.0,67.0,15.64005985001532,1995.0000000000007,190.0,4000.0,400.0,1750.0,14.970197610360676,13.81,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
GLC 220 d Progressive,2018,44999.999999999985,Mumbai,4656.0,1890.0,1639.0,66.0,15.330637790927133,2143.0000000000005,167.99999999999997,3000.0,400.0,1400.0,14.979287245081439,13.81,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Endeavour Titanium 2.0 4x2 AT,2020,20000.000000000015,Karnal,4903.0,1869.0,1837.0,80.0,15.150511624696614,1996.0000000000007,167.99999999999997,3500.0,420.0,2000.0,13.701192212433263,13.81,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Creta SX 1.6 AT Petrol,2019,44999.999999999985,Raipur,4270.0,1780.0,1665.0,55.0,13.8878312195439,1590.9999999999998,122.00000000000003,6400.0,151.0,4850.0,13.332835658211609,13.81,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
City VX CVT,2015,58999.99999999997,Faridabad,4440.0,1695.0,1495.0,40.0,13.444446876573442,1497.0000000000007,117.00000000000003,6600.0,145.0,4600.0,13.247622182348156,13.81,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
A3 35 TFSI Premium Plus,2018,77590.00000000006,Delhi,4456.0,1796.0,1416.0,50.0,14.594835434765272,1394.9999999999998,147.99999999999994,5000.0,250.0,1500.0,14.645617786857711,13.81,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Alto VXI,2019,7404.661098281211,Mumbai,4370.0,1775.0,1550.0,50.0,12.86099861326992,1497.9999999999998,117.00000000000003,4200.0,200.0,1900.0,13.0876568212651,13.81,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Wagon R LXI CNG (O),2014,75693.00000000004,Pune,3599.0,1495.0,1700.0,35.0,12.80765263256463,998.0000000000002,57.999999999999986,6200.0,77.0,3500.0,13.0876568212651,13.81,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Fortuner 2.8 4x4 AT [2016-2020],2017,120000.00000000004,Faridabad,4795.0,1855.0,1835.0,80.0,14.826747767147383,2754.999999999999,174.0,3400.0,450.0,1600.0,14.103649799670542,13.81,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Eon Magna [2011-2012],2012,55699.99999999999,Jamshedpur,3495.0,1550.0,1500.0,32.0,12.128111104060462,925.1908124790585,56.00000000000002,5500.0,75.0,4000.0,13.332835658211609,13.81,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Thar AX 6-STR Soft Top Diesel MT,2020,28000.00000000002,Delhi,3985.0,1820.0,1920.0,57.0,14.253765488895429,2184.0000000000005,129.99999999999997,3750.0,300.0,1600.0,13.7548285741869,13.81,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
C-Class C 220 CDI Avantgarde,2016,21200.000000000015,Pune,4686.0,1810.0,1442.0,66.0,14.862829552244833,2143.0000000000005,167.99999999999997,3000.0,400.0,1400.0,14.979287245081439,13.81,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
XL6 Alpha MT Petrol,2021,13399.999999999989,Mysore,4445.0,1775.0,1700.0,45.0,14.077105295652737,1461.9999999999995,103.00000000000001,6000.0,138.0,4400.0,13.0876568212651,13.81,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Scorpio S10,2014,124999.9999999999,Lucknow,4456.0,1820.0,1995.0,60.0,13.560618308335483,2179.000000000001,119.99999999999997,4000.0,280.0,1800.0,13.7548285741869,13.81,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Innova 2.5 G4 7 STR,2013,76000.0,Kanpur,4555.0,1770.0,1755.0,55.0,13.37700559577791,2494.0000000000005,101.99999999999996,5600.0,200.0,1400.0,14.103649799670542,13.81,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
Verna SX (O) 1.6 CRDi,2017,31000.000000000015,Kolkata,4440.0,1729.0,1475.0,45.0,13.607254387615964,1581.9999999999993,126.0,4000.0,260.0,1500.0,13.332835658211609,13.81,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Alto 800 Lx CNG,2017,44999.999999999985,Pune,3395.0,1491.0,1475.0,35.0,12.608198852372823,925.1908124790585,48.00000000000001,6000.0,69.0,3500.0,13.0876568212651,13.81,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
XE Prestige Diesel,2017,29999.000000000007,Bangalore,4795.0,1967.0,1416.0,56.0,15.009129950210719,1998.9999999999993,176.99999999999994,4000.0,430.0,1750.0,14.766056716400424,13.81,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CLA 200 D Urban Sport,2018,20000.000000000015,Mumbai,4630.0,1777.0,1432.0,56.0,14.845129975145433,2143.0000000000005,136.00000000000006,3200.0,300.0,1400.0,14.979287245081439,13.81,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Innova 2.8 ZX AT 7 STR [2016-2020],2019,25999.999999999985,Mumbai,4735.0,1830.0,1795.0,55.0,14.646243401476783,2754.999999999999,171.99999999999994,3400.0,360.0,1200.0,14.103649799670542,13.81,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
Pajero 2.5 AT,2016,82000.0,Mumbai,4695.0,1815.0,1840.0,70.0,14.204168547756057,2476.999999999999,175.99999999999991,4000.0,350.0,1800.0,13.977824558629855,13.81,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
Seltos GTX Plus 1.4 [2020-2021],2019,16999.99999999999,Bangalore,4315.0,1800.0,1645.0,50.0,14.253765488895429,1352.9999999999995,138.00000000000006,6000.0,242.0,1500.0,14.082939331174831,13.81,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
City VX,2016,63088.00000000004,Jaipur,4440.0,1695.0,1495.0,40.0,13.579788224443204,1497.0000000000007,117.00000000000003,6600.0,145.0,4600.0,13.247622182348156,13.81,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Q7 45 TDI Technology Pack,2018,46999.99999999999,Delhi,5052.0,1968.0,1740.0,75.0,15.590462908875947,2966.9999999999995,245.0000000000001,2910.0,600.0,1500.0,14.645617786857711,13.81,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Swift DZire VXI,2012,67999.99999999999,Kanpur,3995.0,1695.0,1555.0,42.0,12.691580461311874,1196.9999999999995,85.00000000000001,6000.0,114.0,4000.0,13.0876568212651,13.81,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Innova 2.8 ZX AT 7 STR [2016-2020],2018,109999.99999999991,Delhi,4735.0,1830.0,1795.0,55.0,14.5284598756242,2754.999999999999,171.99999999999994,3400.0,360.0,1200.0,14.103649799670542,13.81,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
i10 Magna 1.2 Kappa2,2011,67000.0,Lucknow,3585.0,1595.0,1550.0,35.0,12.301382825334498,1196.9999999999995,79.0,6000.0,112.7619,4000.0,13.332835658211609,13.81,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
City 1.5 S MT,2013,64999.999999999956,Chennai,4440.0,1695.0,1485.0,42.0,13.122363377404328,1497.0000000000007,115.99999999999999,6600.0,146.0,4800.0,13.247622182348156,13.81,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
