Model,Year,Kilometer,Location,Length,Width,Height,Fuel Tank Capacity,Engine_Value,Max_Power_Value,Max_Power_RPM,Max_Torque_Value,Max_Torque_RPM,Make_encoded,Drivetrain_encoded,Fuel_CNG,Fuel_Others,Fuel_Petrol,Transmission_is_Automatic,Color_Medium,Color_Premium,Color_Rare,Color_Silver,Color_Standard,Owner_First_Owner,Owner_Fourth_Plus_Owner,Owner_New,Owner_Second_Owner,Owner_Third_Owner,Seller_Commercial Registration,Seller_Corporate,Seating_2,Seating_4,Seating_6,Seating_7,Seating_8
Fortuner 2.8 4x4 AT [2016-2020],2017,120000.00000000004,Faridabad,4795.0,1855.0,1835.0,80.0,2754.999999999999,174.0,3400.0,450.0,1600.0,14.103649799670542,13.81,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Duster 110 PS RxL Diesel,2014,71999.99999999996,Ludhiana,4315.0,1822.0,1695.0,50.0,1461.0000000000002,108.00000000000003,3900.0,248.0,2250.0,13.085894547754995,13.81,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Endeavour Titanium 3.2 4x4 AT,2018,35000.00000000001,Ludhiana,4892.0,1860.0,1837.0,80.0,3165.290134357197,197.0,3000.0,470.0,1750.0,13.701192212433263,13.81,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
R-Class R350 4MATIC,2012,44724.00000000004,Bangalore,5157.0,2035.0,1659.0,80.0,3165.290134357197,272.0000000000001,6000.0,350.0,5000.0,14.979287245081439,13.81,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Harrier XZ [2019-2020],2019,68757.99999999994,Hyderabad,4598.0,1894.0,1706.0,50.0,1955.9999999999993,138.00000000000006,3750.0,350.0,1750.0,13.539726337744348,13.81,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
A4 35 TDI Technology,2017,59267.00000000005,Kolkata,4726.0,1842.0,1427.0,54.0,1967.9999999999998,188.0,4200.0,400.0,1750.0,14.645617786857711,13.81,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
i20 Active 1.4 SX,2015,58999.99999999997,Agra,3995.0,1760.0,1555.0,45.0,1396.0,88.99999999999999,4000.0,220.0,1500.0,13.332835658211609,13.81,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Polo Highline1.5L (D),2014,54000.00000000001,Bangalore,3971.0,1682.0,1469.0,45.0,1497.9999999999998,88.99999999999999,4200.0,230.0,1500.0,13.36190214923346,13.81,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Macan Base [2019-2020],2019,26999.999999999978,Hyderabad,4696.0,1923.0,1624.0,65.0,1983.9999999999993,248.00000000000009,5000.0,370.0,1600.0,15.073386981633433,13.81,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
C-Class 200 CGI,2012,64800.000000000044,Delhi,4596.0,1770.0,1447.0,66.0,1796.0000000000007,186.00000000000009,5600.0,285.0,4000.0,14.979287245081439,13.81,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Fortuner 3.0 4x2 AT,2015,145000.00000000012,Mohali,4705.0,1840.0,1850.0,80.0,2982.000000000002,169.0,3600.0,360.0,1400.0,14.103649799670542,13.81,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Wagon R LXi,2012,12300.000000000004,Mumbai,3539.0,1491.0,1700.0,35.0,998.0000000000002,68.00000000000001,6200.0,90.0,3500.0,13.0876568212651,13.81,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Astor Sharp EX 1.5 MT,2022,7404.661098281211,Kolkata,4323.0,1809.0,1650.0,48.0,1497.9999999999998,108.00000000000003,6000.0,144.0,4400.0,14.235879202727373,13.81,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Alto 800 Std,2014,48000.00000000004,Ranchi,3395.0,1491.0,1475.0,35.0,925.1908124790585,46.99999999999999,6000.0,69.0,3500.0,13.0876568212651,13.81,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Wagon R VXi 1.0 [2019-2019],2018,40000.0,Kanpur,3655.0,1620.0,1675.0,32.0,1497.9999999999998,117.00000000000003,4200.0,200.0,1900.0,13.0876568212651,13.81,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
V40 D3 R-Design,2016,7404.661098281211,Mumbai,4370.0,1783.0,1458.0,60.0,1983.9999999999993,149.99999999999997,3500.0,350.0,1500.0,14.426292544644863,13.81,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Jazz V Diesel,2015,68244.00000000006,Indore,3955.0,1694.0,1544.0,40.0,1497.9999999999998,98.00000000000004,3600.0,200.0,1750.0,13.247622182348156,13.81,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Figo Duratorq Diesel Titanium 1.4,2010,71999.99999999996,Hyderabad,3795.0,1680.0,1427.0,45.0,1399.0000000000007,69.00000000000001,4000.0,160.0,2000.0,13.701192212433263,13.81,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
